"index,Country Code",Country Name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900
"0,AFG",AFGHANISTAN,721.0,155.0,378.0,83.0,350.0,101.0,1334.0,296.0,382.0,582.0,18.0,137.0,4083.0,485.0,594.0,205.0,7308.0,175.0,70.0,381.0,160.0,225.0,614.0,1427.0,144.0,,0.0,70.0,,,1.0,12.0,500.0,,0.0,,120.0,,101.0,,,,150.0,100.0,,0.0,,,,,,107.0,,,,,,,151.0,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,ALB",ALBANIA,,,5.0,,0.0,0.0,,0.0,,5.0,3.0,,7.0,,,,0.0,0.0,7.0,4.0,,,11.0,,,0.0,0.0,,,125.0,,,1.0,,,35.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,DZA",ALGERIA,,,69.0,10.0,2.0,48.0,93.0,90.0,5.0,34.0,22.0,2369.0,48.0,921.0,48.0,34.0,,5.0,4.0,,233.0,37.0,21.0,0.0,,22.0,0.0,1.0,,56.0,54.0,,37.0,43.0,2635.0,0.0,,,,,11.0,21.0,,,,76.0,,20.0,57.0,2.0,,0.0,,,57.0,,,,,,1250.0,,25.0,,,,,,276.0,,,,,,,,,,,,,,,,,,,3000.0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
"3,ASM",AMERICAN SAMOA,,,,,,34.0,,,,0.0,0.0,6.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,AGO",ANGOLA,,9.0,0.0,130.0,25.0,178.0,370.0,620.0,2422.0,0.0,357.0,15.0,8.0,154.0,77.0,188.0,115.0,0.0,,0.0,,,,,,766.0,,59.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,AIA",ANGUILLA,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
"6,ATG",ANTIGUA AND BARBUDA,,,,,0.0,,0.0,,,,,,,,,2.0,2.0,,,2.0,,,,,0.0,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7,ARG",ARGENTINA,24.0,56.0,25.0,0.0,42.0,29.0,0.0,19.0,0.0,11.0,10.0,39.0,11.0,35.0,37.0,0.0,19.0,0.0,,6.0,24.0,15.0,112.0,0.0,21.0,,25.0,1.0,4.0,43.0,30.0,0.0,0.0,,41.0,0.0,5.0,70.0,,20.0,100.0,60.0,100.0,,36.0,,,56.0,62.0,45.0,,,,,,,360.0,,,,,,,,,0.0,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8,ARM",ARMENIA,,0.0,,,,,,,,,1.0,,,,0.0,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9,AUS",AUSTRALIA,2.0,9.0,4.0,1.0,36.0,535.0,8.0,11.0,4.0,20.0,6.0,6.0,2.0,6.0,1.0,8.0,20.0,21.0,21.0,9.0,36.0,18.0,2.0,0.0,12.0,25.0,17.0,,15.0,38.0,36.0,75.0,1.0,2.0,0.0,15.0,12.0,3.0,0.0,0.0,90.0,12.0,,30.0,13.0,,12.0,662.0,,,,,,,,,,,,70.0,,,,,,,,,,,49.0,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
