"Country.Code","Country.Name","Region","Year","Deaths","Population"
"AFG","AFGHANISTAN","Asia",2014,721,32792523
"AFG","AFGHANISTAN","Asia",2013,155,31622704
"AFG","AFGHANISTAN","Asia",2012,378,30560034
"AFG","AFGHANISTAN","Asia",2011,83,29347708
"AFG","AFGHANISTAN","Asia",2010,350,28284089
"AFG","AFGHANISTAN","Asia",2009,101,27466101
"AFG","AFGHANISTAN","Asia",2008,1334,26482622
"AFG","AFGHANISTAN","Asia",2007,296,25909852
"AFG","AFGHANISTAN","Asia",2006,382,25424094
"AFG","AFGHANISTAN","Asia",2005,582,24404567
"AFG","AFGHANISTAN","Asia",2004,18,23560654
"AFG","AFGHANISTAN","Asia",2003,137,22733049
"AFG","AFGHANISTAN","Asia",2002,4083,21378117
"AFG","AFGHANISTAN","Asia",2001,485,20284307
"AFG","AFGHANISTAN","Asia",2000,594,20130327
"AFG","AFGHANISTAN","Asia",1999,205,19887785
"AFG","AFGHANISTAN","Asia",1998,7308,19159996
"AFG","AFGHANISTAN","Asia",1997,175,18452091
"AFG","AFGHANISTAN","Asia",1996,70,17763266
"AFG","AFGHANISTAN","Asia",1995,381,17065836
"AFG","AFGHANISTAN","Asia",1994,160,16250794
"AFG","AFGHANISTAN","Asia",1993,225,14943172
"AFG","AFGHANISTAN","Asia",1992,614,13278974
"AFG","AFGHANISTAN","Asia",1991,1427,12238879
"AFG","AFGHANISTAN","Asia",1990,144,12045660
"AFG","AFGHANISTAN","Asia",1989,0,11874088
"AFG","AFGHANISTAN","Asia",1988,0,11523298
"AFG","AFGHANISTAN","Asia",1987,70,11387818
"AFG","AFGHANISTAN","Asia",1986,0,11420074
"AFG","AFGHANISTAN","Asia",1985,0,11426852
"AFG","AFGHANISTAN","Asia",1984,1,11190221
"AFG","AFGHANISTAN","Asia",1983,12,10917982
"AFG","AFGHANISTAN","Asia",1982,500,10991378
"AFG","AFGHANISTAN","Asia",1981,0,11937581
"AFG","AFGHANISTAN","Asia",1980,0,13169311
"AFG","AFGHANISTAN","Asia",1979,0,13655567
"AFG","AFGHANISTAN","Asia",1978,120,13611441
"AFG","AFGHANISTAN","Asia",1977,0,13340756
"AFG","AFGHANISTAN","Asia",1976,101,13059851
"AFG","AFGHANISTAN","Asia",1975,0,12773954
"AFG","AFGHANISTAN","Asia",1974,0,12469127
"AFG","AFGHANISTAN","Asia",1973,0,12157999
"AFG","AFGHANISTAN","Asia",1972,150,11853696
"AFG","AFGHANISTAN","Asia",1971,100,11567667
"AFG","AFGHANISTAN","Asia",1970,0,11290128
"AFG","AFGHANISTAN","Asia",1969,0,11017409
"AFG","AFGHANISTAN","Asia",1968,0,10756922
"AFG","AFGHANISTAN","Asia",1967,0,10505959
"AFG","AFGHANISTAN","Asia",1966,0,10266395
"AFG","AFGHANISTAN","Asia",1965,0,10036008
"AFG","AFGHANISTAN","Asia",1964,0,9814318
"AFG","AFGHANISTAN","Asia",1963,107,9604487
"AFG","AFGHANISTAN","Asia",1962,0,9404406
"AFG","AFGHANISTAN","Asia",1961,0,9214083
"AFG","AFGHANISTAN","Asia",1960,0,9035043
"AGO","ANGOLA","Africa",2014,0,27160769
"AGO","ANGOLA","Africa",2013,9,26165620
"AGO","ANGOLA","Africa",2012,0,25177394
"AGO","ANGOLA","Africa",2011,130,24218352
"AGO","ANGOLA","Africa",2010,25,23294825
"AGO","ANGOLA","Africa",2009,178,22414773
"AGO","ANGOLA","Africa",2008,370,21578655
"AGO","ANGOLA","Africa",2007,620,20778561
"AGO","ANGOLA","Africa",2006,2422,20015279
"AGO","ANGOLA","Africa",2005,0,19291161
"AGO","ANGOLA","Africa",2004,357,18600423
"AGO","ANGOLA","Africa",2003,15,17943712
"AGO","ANGOLA","Africa",2002,8,17327699
"AGO","ANGOLA","Africa",2001,154,16747208
"AGO","ANGOLA","Africa",2000,77,16194869
"AGO","ANGOLA","Africa",1999,188,15667235
"AGO","ANGOLA","Africa",1998,115,15159370
"AGO","ANGOLA","Africa",1997,0,14660413
"AGO","ANGOLA","Africa",1996,0,14170973
"AGO","ANGOLA","Africa",1995,0,13699778
"AGO","ANGOLA","Africa",1994,0,13249764
"AGO","ANGOLA","Africa",1993,0,12827135
"AGO","ANGOLA","Africa",1992,0,12423712
"AGO","ANGOLA","Africa",1991,0,12023529
"AGO","ANGOLA","Africa",1990,0,11626360
"AGO","ANGOLA","Africa",1989,766,11238562
"AGO","ANGOLA","Africa",1988,0,10861291
"AGO","ANGOLA","Africa",1987,59,10497858
"AGO","ANGOLA","Africa",1986,0,10139450
"AGO","ANGOLA","Africa",1985,0,9779120
"AGO","ANGOLA","Africa",1984,0,9425917
"AGO","ANGOLA","Africa",1983,0,9082983
"AGO","ANGOLA","Africa",1982,0,8751648
"AGO","ANGOLA","Africa",1981,0,8435607
"AGO","ANGOLA","Africa",1980,0,8133872
"AGO","ANGOLA","Africa",1979,0,7847207
"AGO","ANGOLA","Africa",1978,0,7576734
"AGO","ANGOLA","Africa",1977,0,7317829
"AGO","ANGOLA","Africa",1976,0,7074664
"AGO","ANGOLA","Africa",1975,0,6842947
"AGO","ANGOLA","Africa",1974,0,6613367
"AGO","ANGOLA","Africa",1973,0,6388528
"AGO","ANGOLA","Africa",1972,0,6174262
"AGO","ANGOLA","Africa",1971,0,5991102
"AGO","ANGOLA","Africa",1970,0,5852788
"AGO","ANGOLA","Africa",1969,0,5763685
"AGO","ANGOLA","Africa",1968,0,5702699
"AGO","ANGOLA","Africa",1967,0,5641807
"AGO","ANGOLA","Africa",1966,0,5581386
